hostname,hip_name,sy_pnum
GJ 3138,10037,3
HD 13189,10085,1
HD 195019,100970,1
TOI-262,10117,1
KELT-9,101252,1
GJ 86,10138,1
HD 196050,101806,1
HD 197037,101948,1
HD 196885 A,101966,1
HD 196067,102125,1
GJ 806,102401,2
AU Mic,102409,3
HD 13808,10301,2
BD-210397,10337,2
18 Del,103527,1
GJ 9714,103768,1
HD 200964,104202,2
HD 199509,104436,1
MASCARA-1,104513,1
BD+14 4559,104780,1
HD 202206,104903,1
HD 202696,105056,2
HD 203030,105232,1
HIP 105854,105854,1
HD 204313,106006,3
HD 13931,10626,1
HD 204941,106353,1
GJ 832,106440,1
HD 14067,10657,1
HD 205739,106824,1
HD 207897,107038,1
nu Oct A,107089,1
HD 206255,107160,1
HD 206610,107251,1
HN Peg,107350,1
HD 13908,10743,2
HIP 107772,107772,1
HIP 107773,107773,1
HD 207832,107985,2
HD 12648,10800,1
HD 207496,108162,1
HD 208527,108296,1
HD 208487,108375,1
HD 208897,108513,1
HD 209458,108859,1
eps Ind A,108870,1
HD 210277,109378,1
HD 210193,109381,1
HIP 109384,109384,1
GJ 849,109388,2
HD 210702,109577,1
HIP 109600,109600,1
K2-65,109656,1
HD 211403,109876,1
HD 211810,110094,1
HD 211970,110443,1
GJ 96,11048,1
K2-116,110620,1
K2-167,110758,1
HD 212771,110813,1
HD 212301,110852,1
HD 213472,111136,1
HD 213240,111143,1
HD 14787,11130,1
HD 213885,111553,2
HD 214823,111928,1
HD 215152,112190,4
HD 215497,112441,2
HD 216520,112527,2
GJ 876,113020,4
HD 216435,113044,1
HIP 113103,113103,2
HD 216437,113137,1
HD 216770,113238,1
51 Peg,113357,1
HD 217107,113421,2
HD 217786,113834,2
WASP-33,11397,1
GJ 887,114046,2
HR 8799,114189,4
HD 218566,114322,1
HD 15337,11433,2
BD-00 4475,114458,1
HD 219134,114622,6
HD 219077,114699,1
HD 240237,114840,1
91 Aqr,114855,1
HIP 114933,114933,1
HD 219828,115100,2
L 168-9,115211,1
HD 220074,115218,1
HD 220197,115359,1
HD 220689,115662,1
HD 220773,115697,1
HD 220842,115714,1
GJ 9827,115752,3
14 And,116076,1
HD 221287,116084,1
GJ 896 A,116132,1
HD 221416,116158,1
HD 221585,116221,1
HD 221420,116250,1
HIP 116454,116454,1
HD 222155,116616,1
HD 222076,116630,1
gam Cep,116727,1
DS Tuc A,116748,1
kap And,116805,1
HD 222582,116906,1
LTT 9779,117883,1
75 Cet,11791,2
HD 224538,118228,1
HD 224693,118319,1
GJ 338 B,120005,1
HD 16141,12048,1
30 Ari B,12184,1
HD 16417,12186,1
HD 16175,12191,1
81 Cet,12247,1
HD 16905,12436,1
HR 810,12653,1
BD+48 740,12684,1
GJ 3021,1292,1
HIP 12961,12961,1
HD 17156,13192,1
TOI-4641,13224,1
HD 17674,13291,1
HR 858,13363,3
HD 18015,13467,1
HD 18143,13642,2
HD 18599,13754,1
HD 18742,13993,1
LTT 1445 A,14101,2
HD 1397,1419,1
HD 18438,14417,1
HD 20003,14530,2
GJ 15 A,1475,2
HIP 14810,14810,3
HD 19994,14954,1
HD 1461,1499,2
HD 20329,15249,1
HD 1502,1547,1
HD 20794,15510,4
HD 20781,15526,5
HD 20782,15527,5
HD 20868,15578,1
GJ 3222,15799,1
HD 21411,16012,1
GJ 143,16069,2
HD 21693,16085,2
HD 1605,1640,2
eps Eri,16537,1
HD 1666,1666,1
HD 22496,16711,1
HD 1690,1692,1
HD 22946,17047,3
HD 23127,17054,1
HD 23079,17096,1
HD 22781,17187,1
HD 23472,17264,5
HD 24085,17515,1
HD 23596,17747,1
HD 24040,17960,2
HD 25171,18387,1
HD 24064,18451,1
HD 25015,18527,1
HD 25723,19011,1
GJ 160.2,19165,1
HD 285507,19207,1
HD 2039,1931,1
GJ 163,19394,3
HD 26161,19428,1
HD 26965,19849,1
HD 27442,19921,1
TOI-444,19950,1
HIP 19976,19976,1
HD 27631,20199,1
HD 27894,20277,3
HD 28254,20606,1
HD 28185,20723,2
HD 27969,20753,1
eps Tau,20889,1
HD 28678,21109,1
HIP 21152,21152,1
alf Tau,21421,1
51 Eri,21547,1
HD 29021,21571,1
HD 30177,21850,2
HD 285968,21932,1
HD 30669,22320,1
HD 30562,22336,1
BD-17 63,2247,1
HD 30856,22491,1
GJ 179,22627,1
GJ 180,22762,3
HD 31253,22826,1
HD 31527,22905,3
HD 2638,2350,1
HD 33142,23844,3
HD 32963,23884,1
HD 33283,23889,1
HD 32518,24003,1
Kapteyn,24186,1
HD 33844,24275,2
KELT-7,24323,1
HD 34445,24681,6
HD 33564,25110,1
HD 290327,25191,1
AF Lep,25486,1
MWC 758,25793,1
HD 35759,25883,1
TOI-431,26013,3
HD 2952,2611,1
HD 38283,26380,1
HD 37124,26381,3
HD 39091,26394,3
HD 36384,26638,1
HD 37605,26664,2
HD 39194,27080,3
HD 38529,27253,2
DMPP-1,27305,4
bet Pic,27321,2
HD 3167,2736,4
HD 38801,27384,1
TOI-201,27515,1
BD-06 1339,27803,2
HD 40307,27887,5
HD 39855,27922,1
HD 41004 B,28393,2
LHS 1815,28754,1
HD 40979,28767,1
DMPP-3 A,28941,1
HD 40956,28951,1
HD 42012,29242,1
GJ 229,29295,2
KELT-2 A,29301,1
HD 42618,29432,1
HIP 29442,29442,3
HD 43197,29550,2
AB Pic,30034,1
HD 43691,30057,1
HD 44219,30114,1
HD 45184,30503,2
HD 45364,30579,2
HD 45350,30860,1
HD 45652,30905,1
HD 3651,3093,1
6 Lyn,31039,1
HD 46375,31246,1
GJ 27.1,3143,1
HD 47186,31540,2
7 CMa,31592,2
HD 260655,31635,2
HD 47366,31674,2
HD 47536,31688,1
HD 48265,31895,1
HD 3765,3206,1
HAT-P-56,32209,1
HR 2562,32775,1
HD 49674,32916,1
HD 50499,32970,2
HD 50554,33212,1
GJ 251,33226,1
HD 51608,33229,2
HD 52265,33719,1
HD 4113,3391,1
HIP 34222,34222,1
tau Gem,34693,1
GJ 2056,34785,1
HD 4208,3479,1
HD 55696,34801,1
HD 4308,3497,1
HD 4203,3502,2
HIP 35173,35173,1
HD 4313,3574,1
HIP 35965,35965,1
GJ 273,36208,2
HD 59686 A,36616,1
HD 60532,36795,2
HD 62364,36941,2
HD 60292,37196,1
HD 63454,37284,1
HD 62509,37826,1
HD 63765,38041,1
HD 63433,38228,3
HD 4732,3834,2
HD 63935,38374,2
HD 64114,38392,1
HD 65216,38558,2
HIP 38594,38594,2
HD 4760,3869,1
HD 5278,3911,2
HD 66141,39311,1
HD 66428,39417,2
HD 68402,39589,1
HD 4917,3975,1
HD 67087,39767,2
HD 69123,40344,1
bet Cnc,40526,1
HD 68988,40687,2
HD 69830,40693,3
HD 70642,40952,1
HIP 41378,41378,5
omi UMa,41704,1
HD 72490,41997,1
HD 72659,42030,2
HD 72892,42098,1
HD 73267,42202,2
HD 73256,42214,1
HD 73526,42282,2
HD 73583,42401,2
HD 73534,42446,1
4 UMa,42527,1
HD 74698,42532,2
HD 74156,42723,2
HD 5319,4297,2
HD 75289,43177,1
HD 75302,43297,1
HD 75784,43569,2
55 Cnc,43587,5
HD 75898,43674,1
HD 76700,43686,1
GJ 328,43790,2
HD 76920,43803,1
HD 77338,44291,1
HD 77946,44746,1
HD 79498,45406,1
HD 5608,4552,1
HD 80606,45982,1
HD 80869,46022,1
HD 81040,46076,1
HD 81688,46471,1
HD 82943,47007,2
HD 82886,47087,1
GJ 357,47103,3
HD 5891,4715,1
HD 81817,47193,2
HD 83443,47202,2
GJ 367,47780,3
HD 85390,48235,1
HD 85512,48331,1
HIP 4845,4845,1
mu Leo,48455,1
HD 86081,48711,1
HIP 48714,48714,1
Gl 49,4872,1
HD 86226,48739,2
HD 86264,48780,1
BD-08 2823,49067,2
HD 86950,49129,1
Gl 378,49189,1
HD 87646,49522,1
HD 87883,49699,1
HD 88133,49813,1
HD 88986,50316,1
HD 89307,50473,1
HD 89345,50496,1
HD 6434,5054,1
gam1 Leo,50583,1
HD 89839,50653,1
HD 89744,50786,1
24 Sex,50887,2
HD 90156,50921,1
KELT-4 A,51260,1
GJ 393,51317,1
HIP 5158,5158,2
HD 142,522,3
HD 92788,52409,2
HD 93083,52521,1
KELT-11,52733,1
KELT-24,52796,1
HD 6718,5301,1
HD 94771,53437,1
HD 95086,53524,1
HD 94834,53545,1
HD 95089,53666,2
HD 95338,53719,1
47 UMa,53721,3
HD 95127,53733,1
GJ 411,54035,2
HD 96063,54158,1
HD 96167,54195,1
HD 95544,54203,1
HD 96127,54232,1
HIP 54373,54373,2
HD 96700,54400,3
HD 97048,54413,1
HD 6860,5447,1
HD 96992,54595,1
HIP 54597,54597,1
GJ 414 A,54646,2
HD 97658,54906,1
GJ 422,55042,1
HD 98219,55174,1
HD 7199,5529,1
HD 98649,55409,1
HD 98736,55486,1
HIP 55507,55507,1
HD 99109,55664,1
HD 233832,55806,1
HD 99492,55848,2
HD 99706,55994,2
HD 100546,56379,1
YZ Cet,5643,3
HD 100655,56508,1
GJ 433,56528,3
HD 100777,56572,1
HIP 56640,56640,1
GJ 1148,57050,2
GJ 436,57087,1
TOI-1801,57099,1
HD 101930,57172,1
HIP 57274,57274,3
HD 102117,57291,1
HD 102195,57370,1
HD 102272,57428,1
HD 102365,57443,1
HD 102329,57467,2
Ross 128,57548,1
HIP 5763,5763,1
HD 102843,57735,1
HD 102956,57820,1
HD 103197,57931,1
HD 7449,5806,1
GJ 3082,5812,1
HD 103720,58237,1
HD 103774,58263,1
HD 103891,58331,1
HD 103949,58374,1
HD 104067,58451,1
HD 104985,58952,1
HD 238090,59514,1
HD 106252,59610,1
HD 106270,59625,1
HD 106515 A,59743,1
HD 106906,59960,1
HD 107148,60081,2
GJ 9404,60093,1
11 Com,60202,1
GJ 463,60398,1
HD 108147,60644,1
HD 108202,60648,1
HD 108236,60689,5
HD 108341,60788,1
HD 108863,61020,1
HD 108874,61028,2
HD 109246,61177,1
HD 109286,61298,1
HD 109271,61300,2
HD 109749,61595,1
GJ 480,61706,1
HD 109833,61723,2
HD 110014,61740,1
HD 110113,61820,2
HD 110537,62039,1
GJ 486,62452,1
HD 111232,62534,2
HD 111591,62653,1
HD 110082,62662,1
HD 111998,62875,1
TOI-1135,62908,1
HD 112300,63090,1
HD 112640,63203,1
HD 112570,63211,1
HIP 63242,63242,1
Ross 458,63510,1
HD 113337,63584,2
GJ 3090,6365,1
HD 7924,6379,3
HD 113538,63833,2
HD 8326,6390,1
HD 113996,64022,1
HD 114082,64184,1
HD 114386,64295,1
HD 114613,64408,1
HD 114783,64457,2
HD 114729,64459,1
GJ 504,64792,1
HD 115404 A,64797,2
61 Vir,64924,3
HIP 65 A,65,1
HD 115954,65042,1
HD 8535,6511,1
HD 116029,65117,2
HIP 65407,65407,2
HIP 65426,65426,1
70 Vir,65721,1
HD 117207,65808,1
GJ 514,65859,1
HIP 65891,65891,1
HD 117618,66047,1
HIP 66074,66074,1
HD 118203,66192,1
HD 8574,6643,1
HD 120084,66903,1
HD 8673,6702,1
HR 5183,67246,1
tau Boo,67275,1
Wolf 503,67285,1
HIP 67522,67522,1
HIP 67537,67537,1
HIP 67851,67851,2
HD 121504,68162,1
GJ 536,68469,1
HD 125390,69888,1
HD 9174,6993,1
HD 125612,70123,3
HD 125595,70170,1
HD 126614,70623,1
HD 126525,70695,1
TOI-1416,70705,1
24 Boo,70791,1
HIP 70849,70849,1
Proxima Cen,70890,1
HD 127506,70950,1
HIP 71135,71135,1
HN Lib,71253,1
HD 128311,71395,2
HD 128356,71481,1
HD 129445,72203,1
HD 130322,72339,1
HD 9446,7245,2
bet UMi,72607,1
HD 131496,72845,1
8 UMi,73136,1
HD 132406,73146,1
HD 132563,73261,1
TOI-836,73427,2
WASP-189,73608,1
HD 133131 B,73674,3
TOI-198,738,1
HD 134060,74273,2
HD 134987,74500,2
HD 134606,74653,5
11 UMi,74793,1
HD 135625,74856,1
HIP 74890,74890,1
HD 136118,74948,1
HD 136418,74961,1
TOI-2018,74981,1
GJ 581,74995,3
omi CrB,75049,1
HIP 75092,75092,1
ups And,7513,3
HD 136352,75181,3
HD 136925,75281,1
iot Dra,75458,2
WASP-18,7562,2
HD 10180,7599,6
HD 139357,76311,1
gam Lib,76333,2
HD 137388,76351,1
HD 141004,77257,1
HD 141399,77301,4
HD 140901,77358,2
HD 330075,77517,1
ome Ser,77578,1
kap CrB,77655,1
HD 141937,77740,1
HD 142245,77783,1
HD 143105,77838,1
eps CrB,78159,1
HD 142415,78169,1
BD+15 2940,78407,1
rho CrB,78459,4
HD 143361,78521,1
HIP 78530,78530,1
HIP 79098 AB,79098,1
GJ 3942,79126,1
HD 145457,79219,1
HD 142022 A,79242,1
14 Her,79248,2
HD 145377,79346,1
HIP 79431,79431,1
17 Sco,79540,1
HD 147379,79755,1
HD 10647,7978,1
HAT-P-2,80076,2
HD 564,801,1
HD 147018,80250,2
HD 147513,80337,1
GJ 625,80459,1
HD 148164,80484,2
HD 147873,80486,2
HD 148156,80680,1
HD 148427,80687,1
Wolf 1061,80824,3
HD 149026,80838,1
HD 150706,80902,1
tau Cet,8102,4
HD 149143,81022,1
HIP 81208 C,81208,1
HD 149806,81375,1
HD 10697,8159,1
HD 152079,82632,1
HD 152581,82651,1
HD 153557,83020,3
GJ 649,83043,1
HD 154391,83289,1
HD 154345,83389,1
HD 154088,83541,1
HD 153950,83547,1
HD 155358,83949,2
HD 154672,83983,1
HD 154857,84069,2
HD 156279,84171,2
GJ 3998,84460,2
HD 156668,84607,2
HD 158996,84769,1
HD 156411,84787,1
HD 156846,84856,1
HD 155918,84988,2
DMPP-2,8501,1
HD 158259,85268,5
HD 158038,85294,1
HIP 8541,8541,2
GJ 674,85523,1
GJ 676 A,85647,4
HD 159243,85911,2
GJ 680,86057,1
GJ 685,86087,1
GJ 687,86162,2
GJ 682,86214,2
HIP 86221,86221,1
Gl 686,86287,1
HD 159868,86375,2
psi1 Dra B,86620,1
HD 160691,86796,4
HD 162020,87330,1
HD 163607,87601,2
HD 11506,8770,3
nu Oph,88048,2
HD 164595,88194,1
HD 164509,88268,1
HD 164922,88348,4
HD 164604,88414,1
HD 165131,88595,1
BD+63 1405,88617,1
HD 165155,88650,1
HD 167042,89047,1
HD 11977,8928,1
HD 166724,89354,1
HD 168009,89474,1
HD 167677,89583,1
HD 168443,89844,2
HD 168746,90004,1
42 Dra,90344,1
HD 169830,90485,2
HD 170469,90593,1
HD 11964,9094,2
BD-11 4672,90979,2
HIP 90988,90988,1
HD 171238,91085,1
GJ 720 A,91128,1
HIP 91258,91258,1
HD 238914,91388,1
GJ 724,91608,1
HD 173416,91852,1
HD 11755,9242,1
PZ Tel,92680,1
HD 175541,92895,1
GJ 740,93101,1
HD 175167,93281,1
HD 175607,93373,1
HD 176986,93540,2
HD 177830,93746,2
HD 177565,93858,1
HD 178911 B,94075,1
Kepler-21,94112,1
HIP 94235,94235,1
HD 179079,94256,1
HD 180053,94465,1
HD 180314,94576,1
HD 179949,94645,1
HD 180617,94761,1
HIP 948,948,1
Kepler-444,94931,5
HD 180902,94951,1
HD 181234,95015,1
HD 181342,95124,1
HD 12484,9519,1
HD 181720,95262,1
HD 181433,95467,3
HD 183263,95740,2
HD 231701,96078,1
HD 183579,96160,1
HIP 9618,9618,2
DMPP-4,96258,1
HD 185269,96507,1
KELT-20,96618,1
HD 12661,9683,2
HD 185283,96861,1
16 Cyg B,96901,1
HIP 97166,97166,2
HIP 97233,97233,1
HD 187123,97336,2
HD 187085,97546,1
HAT-P-11,97657,2
HD 188015,97769,1
xi Aql,97938,1
HD 189733,98505,1
HD 235088,98668,1
HD 190007,98698,1
HD 190228,98714,1
HD 190360,98767,2
alf Ari,9884,1
HD 189567,98959,2
HD 190647,99115,1
HD 191939,99175,6
HD 191806,99306,1
HD 190984,99496,1
HD 13167,9960,1
GJ 9689,99699,1
HD 192263,99711,1
HIP 99770,99770,1
HD 192310,99825,2
HD 192699,99894,1
